"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"NAPSA",79.2956918689195,2.12142492794107,0.213726160018212,8.79938936555745e-24,5.33242995552782e-23,"Up"
"MUC1",171.48899405226,1.98977688394774,0.200865491227736,8.96658317885342e-24,5.4316193595775e-23,"Up"
"LGALSL",41.5339426546069,4.85714155727381,0.483729157321028,9.0965316554946e-24,5.50817804358769e-23,"Up"
"PDLIM1",1727.90872517172,0.624269210392085,0.0622512799686066,9.24178880097643e-24,5.59394290409278e-23,"Up"
"CCDC86",602.835897423003,1.42016111427417,0.142711747096646,9.3632039548965e-24,5.66521498492622e-23,"Up"
"CDC42BPB",83.0758979399929,2.46788400993395,0.249949176998814,9.64973113387884e-24,5.83629335467044e-23,"Up"
"TGIF2",658.88703619375,0.764644868225774,0.0763563072864071,9.65991451711036e-24,5.84016662883045e-23,"Up"
"DAZAP2",10743.6110106638,-0.58530525583623,0.058383588652703,9.8188254424006e-24,5.93391902860448e-23,"Down"
"PPM1N",78.888239761686,1.9681144725493,0.198561096590109,9.90643930100795e-24,5.98452722902564e-23,"Up"
"MICAL1",629.146066967152,-1.51656548451494,0.152736782276244,9.93242489969633e-24,5.99788049921874e-23,"Down"
"ADGRF1",227.313450933594,13.5468162754714,3.48560469124629,9.94142548590979e-24,6.0009706263189e-23,"Up"
"LINC00861",83.8136241031754,-2.09301756165249,0.211795490280012,1.02313478928931e-23,6.17356575512991e-23,"Down"
"CBY1",94.2399118547495,1.85738448642092,0.190092507000416,1.0322011322478e-23,6.2258407871293e-23,"Up"
"GSPT2",305.940986403551,-1.1042239785637,0.110679464471394,1.03677294951709e-23,6.25097635149733e-23,"Down"
"ECM1",43.2433338536823,3.66611311235861,0.37019095194814,1.08636839645088e-23,6.54744572166748e-23,"Up"
"MTG1",104.693615181669,2.07015730115767,0.209393681692185,1.10229020946296e-23,6.64081505139612e-23,"Up"
"MRPS12",1595.82374015528,1.05857514742689,0.106154691734678,1.12702510447903e-23,6.78718586886766e-23,"Up"
"NAXD",723.030237763897,0.848239214258185,0.084903350269116,1.14962741576803e-23,6.92060477439164e-23,"Up"
"DENND2D",4526.32792271886,0.39354677195183,0.0392800060061471,1.16724207409692e-23,7.02390645288927e-23,"Not Significant"
"FIS1",1845.27297735262,0.831644640241477,0.0832758349136968,1.22076475628436e-23,7.34312097269839e-23,"Up"
"RHBDD1",638.427750034421,0.822430843824419,0.0824105005051887,1.32926409366873e-23,7.99265293364312e-23,"Up"
"TMEM33",2757.40329137169,1.04478336483293,0.104929025737578,1.33927346142233e-23,8.04970548399816e-23,"Up"
"OCIAD2",1705.52886226756,0.937359407431976,0.0940485435040544,1.37213234362846e-23,8.24399731963087e-23,"Up"
"COL16A1",83.9030672288228,7.40910755261495,0.73015318383117,1.41023567064273e-23,8.46963537444313e-23,"Up"
"AP1S1",2799.10801213861,0.695409084016792,0.0696741477706381,1.44091208532565e-23,8.65051066609837e-23,"Up"
"S100A10",3410.24269907332,0.979992823639395,0.0984740076295984,1.51092582811313e-23,9.06731527061442e-23,"Up"
"IFFO2",1293.80672991938,1.01416485611042,0.102002052326325,1.56645968513107e-23,9.39693381767486e-23,"Up"
"POFUT2",287.346110358808,1.22150481428407,0.123099697357298,1.57102466302045e-23,9.42066127964881e-23,"Up"
"NIPBL-DT",201.536285286218,-1.1831753135637,0.119287419554453,1.61663073365105e-23,9.69037809430168e-23,"Down"
"NUDT4",2333.72129224982,1.03992931640632,0.104652424189501,1.64416563280027e-23,9.85160586415765e-23,"Up"
"SLC6A14",358.10414922172,13.5082183640161,3.50266582596948,1.69850944713819e-23,1.01732815839637e-22,"Up"
"EFNA5",43.8404733083992,3.53305494460379,0.359744336447716,1.71045164838381e-23,1.02408404968908e-22,"Up"
"TOGARAM2",276.753659369682,-1.41558355204211,0.143335922958598,1.76115616547048e-23,1.05403354860633e-22,"Down"
"C17orf67",105.585769967112,1.93127866704344,0.196243482158369,1.8531704372833e-23,1.1086737424444e-22,"Up"
"VPS13C",1485.86780812585,-1.28486180855255,0.129818889176009,1.86268567095782e-23,1.11393504927675e-22,"Down"
"SLC4A11",101.569060400298,1.96229971879455,0.199478248643097,1.87193048393848e-23,1.11903062933468e-22,"Up"
"NECAB3",399.030737067415,-1.35997530623878,0.137672764152992,1.90010332923059e-23,1.13543297550658e-22,"Down"
"ZNF165",40.3469753480387,3.65725823306506,0.371085254446834,1.90841916671441e-23,1.13996139865627e-22,"Up"
"FAM169A",590.104241605642,-1.60229424789702,0.162507091976845,1.9115960522556e-23,1.14141784372124e-22,"Down"
"DLGAP1-AS1",166.613926476917,1.30998351305639,0.132350590493589,1.93817568423583e-23,1.15684159322118e-22,"Up"
"TGOLN2",4568.18192997244,-0.8042612158498,0.0809300126286977,1.99559225530781e-23,1.19065201240431e-22,"Down"
"PPIL1",894.130887889517,0.947313162000753,0.0954275408656929,2.04363894086735e-23,1.21884803370217e-22,"Up"
"MRI1",269.450942251897,-1.58373620325701,0.160758150099638,2.08801824229922e-23,1.24483587570408e-22,"Down"
"MIR124-1HG",70.2330823583992,-3.16928152271458,0.322921280483138,2.09110413447897e-23,1.24619483957206e-22,"Down"
"GOLGA8Q",59.8854347245111,-3.4695832484635,0.351529462784008,2.09792546961487e-23,1.24977803708399e-22,"Down"
"SRC",863.325080914214,1.58178794916902,0.160531949487285,2.11039400187114e-23,1.25672132990037e-22,"Up"
"EHD2",247.590140173466,12.7879894212273,2.55264636631482,2.13973213430685e-23,1.27370110444698e-22,"Up"
"FGFR2",75.5640504843946,7.21293772894688,0.710689478399748,2.34254618020742e-23,1.39389164893128e-22,"Up"
"DERL1",6661.32748325931,0.576482685160606,0.0580127495221595,2.44651841126781e-23,1.45519819127488e-22,"Up"
"HTRA2",747.745441137833,-0.923703901276824,0.0932798639722615,2.56938237937236e-23,1.52769010805853e-22,"Down"
"EED",764.45834918344,1.18605370550517,0.120064332768599,2.58123107268467e-23,1.53414476023832e-22,"Up"
"TGFBR2",4706.2582024289,-0.490777614291806,0.0494210134982915,2.73135586334917e-23,1.62274671881333e-22,"Not Significant"
"CYSLTR2",184.484528376058,-1.75750874617223,0.178983720936745,2.74003810963513e-23,1.62727935850084e-22,"Down"
"KTN1",768.287486827627,-1.83257521300524,0.186922580105215,2.75626539168726e-23,1.63628771024753e-22,"Down"
"GIMAP4",4686.21811432624,1.0621885983521,0.107484771700762,2.79081742696198e-23,1.65616365970981e-22,"Up"
"NT5M",68.8331490020691,-2.42584036228753,0.247398463697351,2.80409162426726e-23,1.66340222148952e-22,"Down"
"PRKDC",2213.91015389213,-1.07197519988742,0.108526395951881,2.83359939438562e-23,1.68026137534309e-22,"Down"
"NECTIN4",56.3640988233216,2.56629480844487,0.262263135741638,2.85787680218327e-23,1.69400729666812e-22,"Up"
"ZNF362",454.789145505412,-1.69858349163484,0.173222332663979,2.86465684374433e-23,1.69737508460051e-22,"Down"
"BUB1",2258.00543325866,0.834948829079303,0.0843523685308736,2.95137526794859e-23,1.74808746706054e-22,"Up"
"PDCL3",544.989554482676,-0.91636261234687,0.0925686196619552,2.95750315164291e-23,1.7510458315072e-22,"Down"
"RAB8A",3761.86628405095,-0.82994857851672,0.0838780300946296,2.9669981550362e-23,1.75599473342682e-22,"Down"
"ADGRG3",570.030845485422,1.21597788312799,0.123357935408207,3.01694184334629e-23,1.78486991980208e-22,"Up"
"PIDD1",612.145061316968,-1.86078893754719,0.190103291680415,3.02333221744215e-23,1.78796604501085e-22,"Down"
"RCN1P2",56.8667642654666,3.40750250760558,0.349758864997426,3.04985427832615e-23,1.80296090906557e-22,"Up"
"PDK1",286.77499038161,-1.08461989886188,0.109866179509668,3.16930411896122e-23,1.87285875909398e-22,"Down"
"HJURP",1030.42244616489,-0.63541867296042,0.0641452165573399,3.20312975897664e-23,1.89212401244136e-22,"Down"
"PTPRH",246.926757652985,13.4567826490231,3.29830785683796,3.2166591069757e-23,1.89938988078317e-22,"Up"
